date,data,cols
2009-01-09 00:00:00,12576322.0,channel_1
2009-01-10 00:00:00,9378233.0,channel_1
2009-01-11 00:00:00,4857511.0,channel_1
2009-01-12 00:00:00,4567766.0,channel_1
2009-01-13 00:00:00,5654593.0,channel_1
2009-01-14 00:00:00,6206668.0,channel_1
2009-01-15 00:00:00,6365454.0,channel_1
2009-01-16 00:00:00,6070043.0,channel_1
2009-01-17 00:00:00,5240736.0,channel_1
2009-01-18 00:00:00,5190081.0,channel_1
2009-01-19 00:00:00,5762472.0,channel_1
2009-01-20 00:00:00,5793593.0,channel_1
2009-01-21 00:00:00,5559411.0,channel_1
2009-01-22 00:00:00,4120719.0,channel_1
2009-01-23 00:00:00,3518417.0,channel_1
2009-01-24 00:00:00,8393223.0,channel_1
2009-01-25 00:00:00,9962644.0,channel_1
2009-01-26 00:00:00,7689965.0,channel_1
2009-01-27 00:00:00,4617016.0,channel_1
2009-01-28 00:00:00,4962996.0,channel_1
2009-01-29 00:00:00,5795924.0,channel_1
2009-01-30 00:00:00,6240808.0,channel_1
2009-01-31 00:00:00,6051994.0,channel_1
2009-02-01 00:00:00,6190608.0,channel_1
2009-02-02 00:00:00,6153545.0,channel_1
2009-02-03 00:00:00,6704449.0,channel_1
2009-02-04 00:00:00,6346531.0,channel_1
2009-02-05 00:00:00,6048969.0,channel_1
2009-02-06 00:00:00,6295545.0,channel_1
2009-02-07 00:00:00,6330966.0,channel_1
2009-02-08 00:00:00,6434968.0,channel_1
2009-02-09 00:00:00,6421922.0,channel_1
2009-02-10 00:00:00,6511267.0,channel_1
2009-02-11 00:00:00,6460281.0,channel_1
2009-02-12 00:00:00,6046361.0,channel_1
2009-02-13 00:00:00,6055061.0,channel_1
2009-02-14 00:00:00,6655610.0,channel_1
2009-02-15 00:00:00,6358856.0,channel_1
2009-02-16 00:00:00,6230951.0,channel_1
2009-02-17 00:00:00,5876537.0,channel_1
2009-02-18 00:00:00,5957088.0,channel_1
2009-02-19 00:00:00,5943972.0,channel_1
2009-02-20 00:00:00,6302263.0,channel_1
2009-02-21 00:00:00,5624662.0,channel_1
2009-02-22 00:00:00,6022206.0,channel_1
2009-02-23 00:00:00,5531524.0,channel_1
2009-02-24 00:00:00,5457302.0,channel_1
2009-02-25 00:00:00,5346698.0,channel_1
2009-02-26 00:00:00,5036662.0,channel_1
2009-02-27 00:00:00,5729494.0,channel_1
2009-02-28 00:00:00,5316849.0,channel_1
2009-03-01 00:00:00,5054096.0,channel_1
2009-03-02 00:00:00,5331702.0,channel_1
2009-03-03 00:00:00,5226712.0,channel_1
2009-03-04 00:00:00,5294369.0,channel_1
2009-03-05 00:00:00,5166785.0,channel_1
2009-03-06 00:00:00,5859262.0,channel_1
2009-03-07 00:00:00,5644853.0,channel_1
2009-03-08 00:00:00,5561590.0,channel_1
2009-03-09 00:00:00,5735349.0,channel_1
2009-03-10 00:00:00,5209928.0,channel_1
2009-03-11 00:00:00,5454076.0,channel_1
2009-03-12 00:00:00,5725069.0,channel_1
2009-03-13 00:00:00,5657424.0,channel_1
2009-03-14 00:00:00,5678662.0,channel_1
2009-03-15 00:00:00,5783981.0,channel_1
2009-03-16 00:00:00,6164511.0,channel_1
2009-03-17 00:00:00,5863375.0,channel_1
2009-03-18 00:00:00,5612209.0,channel_1
2009-03-19 00:00:00,5959575.0,channel_1
2009-03-20 00:00:00,6034212.0,channel_1
2009-03-21 00:00:00,5293010.0,channel_1
2009-03-22 00:00:00,3769984.0,channel_1
2009-03-23 00:00:00,6360511.0,channel_1
2009-03-24 00:00:00,5685246.0,channel_1
2009-03-25 00:00:00,5682962.0,channel_1
2009-03-26 00:00:00,5763023.0,channel_1
2009-03-27 00:00:00,5567742.0,channel_1
2009-03-28 00:00:00,5605066.0,channel_1
2009-03-29 00:00:00,5563060.0,channel_1
2009-03-30 00:00:00,6174270.0,channel_1
2009-03-31 00:00:00,5736621.0,channel_1
2009-04-01 00:00:00,5430648.0,channel_1
2009-04-02 00:00:00,5955989.0,channel_1
2009-04-03 00:00:00,5594588.0,channel_1
2009-04-04 00:00:00,5601954.0,channel_1
2009-04-05 00:00:00,6248209.0,channel_1
2009-04-06 00:00:00,6073474.0,channel_1
2009-04-07 00:00:00,5094113.0,channel_1
2009-04-08 00:00:00,5105377.0,channel_1
2009-04-09 00:00:00,4926977.0,channel_1
2009-04-10 00:00:00,5064620.0,channel_1
2009-04-11 00:00:00,5914151.0,channel_1
2009-04-12 00:00:00,5859512.0,channel_1
2009-04-13 00:00:00,5825783.0,channel_1
2009-04-14 00:00:00,6041215.0,channel_1
2009-04-15 00:00:00,5699780.0,channel_1
2009-04-16 00:00:00,6045975.0,channel_1
2009-04-17 00:00:00,5826039.0,channel_1
2009-04-18 00:00:00,5872722.0,channel_1
2009-04-19 00:00:00,6050241.0,channel_1
2009-04-20 00:00:00,5962870.0,channel_1
2009-04-21 00:00:00,5974516.0,channel_1
2009-04-22 00:00:00,6015670.0,channel_1
2009-04-23 00:00:00,4910702.0,channel_1
2009-04-24 00:00:00,4815481.0,channel_1
2009-04-25 00:00:00,5862788.0,channel_1
2009-04-26 00:00:00,5785290.0,channel_1
2009-04-27 00:00:00,5197535.0,channel_1
2009-04-28 00:00:00,5639535.0,channel_1
2009-04-29 00:00:00,5983533.0,channel_1
2009-04-30 00:00:00,6626342.0,channel_1
2009-05-01 00:00:00,6087167.0,channel_1
2009-05-02 00:00:00,6370022.0,channel_1
2009-05-03 00:00:00,5432058.0,channel_1
2009-05-04 00:00:00,6028806.0,channel_1
2009-05-05 00:00:00,6654245.0,channel_1
2009-05-06 00:00:00,6617035.0,channel_1
2009-05-07 00:00:00,6311697.0,channel_1
2009-05-08 00:00:00,6101575.0,channel_1
2009-05-09 00:00:00,5123304.0,channel_1
2009-05-10 00:00:00,3007562.0,channel_1
2009-05-11 00:00:00,5686382.0,channel_1
2009-05-12 00:00:00,6285390.0,channel_1
2009-05-13 00:00:00,6180537.0,channel_1
2009-05-14 00:00:00,6001457.0,channel_1
2009-05-15 00:00:00,7216902.0,channel_1
2009-05-16 00:00:00,6322797.0,channel_1
2009-05-17 00:00:00,5868562.0,channel_1
2009-05-18 00:00:00,6179089.0,channel_1
2009-05-19 00:00:00,5807669.0,channel_1
2009-05-20 00:00:00,4829928.0,channel_1
2009-05-21 00:00:00,5335009.0,channel_1
2009-05-22 00:00:00,4176721.0,channel_1
2009-05-23 00:00:00,3998008.0,channel_1
2009-05-24 00:00:00,4893764.0,channel_1
2009-05-25 00:00:00,4962520.0,channel_1
2009-05-26 00:00:00,5803695.0,channel_1
